Module                  Size  Used by
nvidia_drm             94208  1
nvidia_modeset       1261568  6 nvidia_drm
xt_conntrack           16384  1
xt_MASQUERADE          16384  1
ip6table_nat           16384  1
ip6table_filter        16384  1
ip6_tables             32768  2 ip6table_filter,ip6table_nat
xt_set                 20480  0
ip_set                 53248  1 xt_set
iptable_nat            16384  1
nf_nat                 45056  3 ip6table_nat,iptable_nat,xt_MASQUERADE
nf_conntrack          122880  3 xt_conntrack,nf_nat,xt_MASQUERADE
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         16384  1 nf_conntrack
xt_addrtype            16384  4
iptable_filter         16384  1
nf_tables             217088  0
libcrc32c              16384  3 nf_conntrack,nf_nat,nf_tables
nfnetlink              20480  3 nf_tables,ip_set
lzo_rle                16384  36
lzo_compress           16384  1 lzo_rle
zram                   32768  12
zsmalloc               32768  1 zram
nvme_fabrics           24576  0
nvme_core              90112  1 nvme_fabrics
r8168                 512000  0
ramoops                28672  0
reed_solomon           20480  1 ramoops
bridge                241664  0
stp                    20480  1 bridge
llc                    20480  2 bridge,stp
algif_hash             24576  1
usb_f_ncm              28672  2
algif_skcipher         20480  1
af_alg                 28672  6 algif_hash,algif_skcipher
usb_f_mass_storage     45056  2
bnep                   28672  2
usb_f_acm              16384  2
u_serial               20480  3 usb_f_acm
usb_f_rndis            28672  2
u_ether                28672  2 usb_f_rndis,usb_f_ncm
libcomposite           61440  16 usb_f_rndis,usb_f_mass_storage,usb_f_acm,usb_f_ncm
tegra_pcie_dma_test    20480  0
tegra_pcie_edma        20480  1 tegra_pcie_dma_test
rtl8822ce            3272704  0
snd_soc_tegra186_asrc    36864  1
snd_soc_tegra210_admaif   118784  1
snd_soc_tegra_pcm      16384  1 snd_soc_tegra210_admaif
snd_soc_tegra210_afc    20480  6
snd_soc_tegra210_ope    32768  1
snd_soc_tegra186_dspk    20480  2
snd_soc_tegra186_arad    24576  2 snd_soc_tegra186_asrc
snd_soc_tegra210_dmic    20480  3
snd_soc_tegra210_adx    28672  4
snd_soc_tegra210_sfc    57344  4
snd_soc_tegra210_mvc    20480  2
snd_soc_tegra210_mixer    45056  1
snd_soc_tegra210_i2s    24576  4
snd_soc_tegra210_amx    32768  4
cfg80211              765952  1 rtl8822ce
tegra210_adma          24576  0
snd_soc_tegra210_ahub  1257472  3 snd_soc_tegra210_ope,snd_soc_tegra210_sfc
spidev                 28672  0
joydev                 32768  0
rtk_btusb              73728  0
btusb                  49152  0
btrtl                  24576  1 btusb
btintel                40960  1 btusb
nvvrs_pseq_rtc         16384  0
btbcm                  28672  1 btusb
mttcan                 65536  0
nvpps                  28672  1 mttcan
fusb301                24576  0
tegra_cactmon_mc_all    16384  0
can_dev                36864  1 mttcan
tegra_aconnect         16384  0
tegra234_aon           49152  1
tegra_xudc             45056  0
pwm_tegra_tachometer    16384  0
snd_hda_codec_hdmi     61440  1
snd_hda_tegra          20480  0
snd_hda_codec         126976  2 snd_hda_codec_hdmi,snd_hda_tegra
phy_tegra194_p2u       16384  9
snd_hda_core           94208  3 snd_hda_codec_hdmi,snd_hda_codec,snd_hda_tegra
at24                   24576  0
mc_hwpm                16384  0
spi_tegra114           28672  0
pcie_tegra194          40960  0
host1x_fence           24576  0
nvhost_isp5            16384  0
nvhost_vi5             20480  0
nvhost_nvcsi_t194      16384  0
tegra_camera          217088  3 nvhost_isp5,nvhost_nvcsi_t194,nvhost_vi5
v4l2_dv_timings        36864  1 tegra_camera
